,names,meas,bootmad,bootmsig,bootmother
465,UGC 00628,2,12.325448439649664,7.942241934901535,9.181714256638777
466,IC 0065,17,5.28188039996526,1.4112228729859244,5.022205960325331
467,UGC 00627,3,19.02363490018028,10.287179962305688,10.815058838017956
468,UGC 00631,4,10.586521498564608,4.911813913977808,7.855713346956195
469,UGC 00632,4,15.014657791492075,6.804457801567925,9.86163196625503
470,MCG -02-03-066,2,8.942841718343784,6.115091890312196,7.132280080435272
471,UGC 00633,20,10.120543508209295,2.6105097686324736,9.567927959703223
472,IC 0069,2,9.416873987843577,6.217365893085578,6.524934444562092
473,UGC 00634,5,3.0497835210561117,1.5124974275946124,2.440729348686321
474,ESO 113- G 006,9,13.73355420750498,5.159760183571907,12.050774257796332
475,UGC 00637,3,6.609510530303128,4.2574666366242,4.068613199900321
476,NGC 0352,5,9.732769982961923,4.296721631293159,7.4248968320768585
477,NGC 0353,3,5.212768604099884,3.362623097193736,3.0005844630099645
478,CGCG 384-060,4,7.981410894893132,3.756850987109623,5.839174968736473
479,MCG -01-03-075,4,7.378660291487679,3.3150810802211668,5.424539900004767
480,NGC 0360,18,3.927815879656734,1.0084380151825958,3.7808492726986604
481,2MASX J01025568-0624422,3,17.684600513610512,10.28624990588022,9.901187877200856
482,ESO 243- G 020,3,8.560733319222606,4.920773415944911,5.0118996216365765
483,NGC 0354,12,9.327125721273314,2.8237681385239037,8.890704520758536
484,UGC 00646,14,9.709791428512982,2.886286584957501,8.907254064830035
485,2MASX J01034126-0220153,3,52.15767760820362,36.62181190815548,32.37537374892193
486,UGC 00652,3,13.978514148589268,9.70997142283247,8.902505842084349
487,MCG -01-03-083,3,20.421757519200444,11.351418304248835,11.41457187121874
488,ESO 243- G 021,2,7.78600760590887,6.89894068564265,8.417582217384007
489,IC 1615,7,11.038360042110853,4.869171074985823,9.741231068294809
490,NGC 0365,3,12.077068788951316,7.491346790831863,7.655793104168296
491,ESO 195- G 029,3,7.791677760132365,4.807026091014693,4.603781983274278
492,MCG -01-03-085,8,1.5559476257110714,0.6069443477226478,1.3675142902886999
493,MCG -01-03-088,2,4.679258577293362,3.06241008189296,3.389196496958712
494,ESO 243- G 025,3,11.813394240354933,7.470942479961941,7.129918201455139
495,UGC 00669,9,8.544863191451899,3.1395881206703162,7.837173804930396
496,2MASX J01052629-0048063,3,41.059478298900544,27.296243114426545,26.35430871887022
497,ESO 243- G 026,7,16.642980173354363,6.511499455457993,14.253306663025127
498,UGC 00673,15,11.016263926279567,3.3040336196453683,10.228965643347658
499,UGC 00676,3,23.370016646465853,12.458571714947242,13.331857388209045
500,NGC 0378,4,16.82553906925944,7.158931603123244,11.362547974260147
501,ESO 243- G 027,3,10.886990177288972,6.471320382608757,6.305140979275755
502,AGC 111669,3,13.20633534999185,10.260199463104131,9.524402890431556
503,UGC 00679,17,9.151659473814625,2.475423160157421,8.661262222979788
504,ESO 243- G 030,3,8.70909556447813,5.167367177225689,4.896472495111286
505,NGC 0379,2,9.883537317918208,6.6204170980615835,7.483968283216978
506,NGC 0380,2,18.94555494420875,12.734341387428609,20.047121576364546
507,2MFGC 00817,4,15.606802549944847,7.136460343422943,11.904235660863566
508,NGC 0383,18,3.921099536209114,0.9179016295006298,3.8802292886927257
509,NGC 0406,13,2.8788195414818714,0.9585357579616086,2.6579980376494863
510,NGC 0385,2,10.565302631683656,7.63528658904086,8.40048207337356
511,UGC 00690,6,12.300999623035453,5.059665322408765,10.593095914677438
512,IC 1625,2,14.043400473566725,9.551827435273497,11.28942013900812
513,UGC 00698,3,13.318006556956336,8.076986903275845,7.490057408098303
514,UGC 00697,5,9.097267033711955,4.450262390912473,7.0574098094274405
515,IC 1627,11,12.15460515107999,4.143301153465658,10.809596074986905
516,IC 1630,7,11.529136169876367,4.717418485820763,9.836043599745132
517,NGC 0392,2,12.988276335037366,9.74653990047991,11.733427661550701
518,ESO 475- G 012,3,13.721289286654912,9.106911847533752,9.01146845377039
519,UGC 00711,12,4.411013638268433,1.3447591883577286,4.168901840253785
520,IC 0078,4,22.22204949030222,9.025505931589693,15.275896396520164
521,IC 0079,2,36.40274574608669,27.791954314509645,32.57342122457682
522,ESO 243- G 044,3,12.912071318489291,8.493615834866697,8.303577871806331
523,FGC 0125,6,30.40167320106891,13.850698732523744,26.204869179779962
524,ESO 296- G 002,4,12.157943037969611,5.118215190981658,8.45072145916196
525,UGC 00714,10,8.67796973676229,2.751417076717254,7.891663674472138
526,AGC 410650,3,12.769936886189729,8.83724585181345,8.295295150619186
527,ESO 195- G 032,3,9.489256226659775,5.217749357442647,5.390862682169594
528,MCG -01-04-005,2,4.784389497670913,3.0530847892863067,3.5139431992130588
529,IC 1633,3,10.15530736523176,6.465373032208889,6.4737802752640325
530,UGC 00723,4,6.870770164386917,3.2185931626174824,5.2847772312662435
531,UGC 00724,5,12.302943912348226,7.349841633541995,11.086548787084833
532,NGC 0415,12,12.337894127140656,3.9748658832911143,11.604319722500998
533,UGC 00725,4,5.448081648684174,2.423493222241214,3.95516123751403
534,ESO 352- G 015,8,7.8600816399682465,2.7346345933424647,6.923662324793776
535,CGCG 501-113,3,9.808755606931433,5.828621168038165,5.804325168501765
536,ESO 243- G 048,2,7.777717972647756,7.031553243777184,7.96833068456161
537,NGC 0418,4,9.389458235857465,3.858701222316431,6.572334897337157
538,UGC 00732,17,7.803861588877145,2.0982303885496187,7.272979905811164
539,KUG 0107+327,3,5.18389261429976,3.7250313609471872,3.557550694242906
540,2MFGC 00869,4,15.789761393705971,7.440675245818781,11.662841198862157
541,AGC 111673,3,20.47259645545247,12.838292900059864,11.652613082893968
542,MCG -01-04-008,12,18.961390089896664,4.806256548265111,17.452856098800186
